LIBMORPHOCIMO3|CIMO3|CODMORPHOCIMO3|Comm|LESION|LIBLESION|MODIFADICAP
Adénome tubulovilleux, SAI dysplasie légère|M-8263/1|82630||A4F2|TUMEUR TUBULOPAPILLAIRE A LA LIMITE DE LA MALIGNITE|
Tumeur à cellules claires, SAI|M-8005/0|80050||A4K2|TUMEUR A CELLULES CLAIRES|
Adénome atypique|M-8140/1|81401||A4K7|TUMEUR BRUNNERIENNE A MALIGNITE INCERTAINE|
Adénome papillaire intrakystique, à la limite de la malignité|M-8504/1|85041|Créé|A4P4|TUMEUR PAPILLAIRE INTRACANALAIRE|
Tumeur phyllode à la limite de la malignité (C50.-)|M-9020/1|90201||A4P6|TUMEUR PHYLLODE A LA LIMITE DE LA MALIGNITE|
Tumeur muco-épidermoïde [obs]|M-8430/1|84301||A4V4|TUMEUR MUCO-EPIDERMOIDE|
Cylindrome eccrine dermique (C44.-)|M-8200/0|82000||A4X6|CYLINDROME (SAI) - CARCINOME ADENOIDE KYSTIQUE A LA LIMITE DE LA MALIGNITE|supprimer : - CARCINOME ADENOIDE KYSTIQUE A LA LIMITE DE LA MALIGNIT |ajouter : (PEAU)
Cylindrome eccrine dermique (C44.-)|M-8200/0|82000|G|A4X7|CYLINDROME A STROMA HYALIN - CARCINOME ADENOIDE KYSTIQUE A STROMA HYALIN|supprimer : - CARCINOME ADENOIDE KYSTIQUE A STROMA HYALIN|ajouter : (PEAU)
Cylindrome eccrine dermique (C44.-)|M-8200/0|82000|G|A4X8|CYLINDROME A STROMA MUCOIDE - CARCINOME ADENOIDE KYSTIQUE A STROMA MUCOIDE|supprimer : - CARCINOME ADENOIDE KYSTIQUE A STROMA MUCOIDE|ajouter : (PEAU)
Adénocarcinome in situ, SAI|M-8140/2|81402||A5A0|ADENOCARCINOME IN SITU (SAI)|
Carcinome intracanalaire et carcinome lobulaire in situ (C50.-)|M-8522/2|85222||A5B0|ADENOCARCINOMES LOBULAIRE ET CANALAIRE NON INFILTRANTS (SAI)|
Carcinome lobulaire in situ, SAI (C50.-)|M-8520/2|85202||A5B1|ADENOCARCINOME LOBULAIRE IN SITU|
Carcinome intracanalaire non infiltrant, SAI|M-8500/2|85002||A5B2|ADENOCARCINOME INTRACANALAIRE IN SITU|
Comédocarcinome non infiltrant (C50.-)|M-8501/2|85012||A5B4|ADENOCARCINOME CANALAIRE A TYPE DE COMEDOCARCINOME IN SITU|
Adénocarcinome papillaire intracanalaire non infiltrant (C50.-)|M-8503/2|85032||A5B5|ADENOCARCINOME CANALAIRE DE TYPE PAPILLAIRE IN SITU|
Carcinome cribriforme intra-épithélial (C50.-)|M-8201/2|82012||A5B6|ADENOCARCINOME CANALAIRE DE TYPE CRIBRIFORME IN SITU|
Carcinome intracanalaire micropapillaire (C50.-)|M-8507/2|85072||A5B8|"ADENOCARCINOME INTRACANALAIRE DE TYPE CRAMPON - ""CLINGING"" CARCINOMA"|
Carcinome intrakystique non infiltrant|M-8504/2|85042||A5C4|CARCINOME INTRAKYSTIQUE - CYSTADENOCARCINOME NON INFILTRANT|
Carcinome intrakystique non infiltrant|M-8504/2|85042||A5C6|ADENOCARCINOME KYSTIQUE ET PAPILLAIRE - CYSTADENOCARCINOME PAPILLAIRE NON INFILTRANT|
Tumeur pseudopapillaire solide (C25.-)|M-8452/1|84521||A5C7|TUMEUR SOLIDE ET PAPILLAIRE NON INFILTRANTE (PANCREAS - FOIE)|
Carcinome sur adénome pléomorphe (C07.-, C08.-)|M-8941/3|89413||A5R8|CARCINOME NON INVASIF SUR ADENOME PLEOMORPHE|
Adénocarcinome, SAI|M-8140/3|81403|G|A6A0|ADENOCARCINOME MICROINVASIF (SAI)|
Adénocarcinome papillaire intracanalaire infiltrant|M-8503/3|85033||A6B2|ADENOCARCINOME CANALAIRE INFILTRANT AVEC COMPOSANTE INTRACANALAIRE PREDOMINANTE ( INFILTRATON INFERIEURE A 20% )|
Adénocarcinome, SAI|M-8140/3|81403|G|A6C1|ADENOCARCINOME INTRAMUQUEUX|
Adénocarcinome, SAI|M-8140/3|81403|G|A6D1|MICROCARCINOME GLANDULAIRE LATENT|
Carcinome vésiculaire microinvasif (C73.9)|M-8335/3|83353||A6G1|ADENOCARCINOME VESICULAIRE AVEC INVASION MINIME|
Adénocarcinome, SAI|M-8140/3|81403||A7A0|ADENOCARCINOME INVASIF (SAI)|
Adénocarcinome, SAI|M-8140/3|81403|G|A7A1|ADENOCARCINOME BIEN DIFFERENCIE (SAI)|
Adénocarcinome, SAI|M-8140/3|81403|G|A7A2|ADENOCARCINOME MOYENNEMENT DIFFERENCIE (SAI)|
Adénocarcinome, SAI|M-8140/3|81403|G|A7A3|ADENOCARCINOME PEU DIFFERENCIE (SAI)|
Adénocarcinome à cellules acineuses|M-8550/3|85503|G|A7A4|ADENOCARCINOME ACINEUX ET MICROACINEUX|
Adénocarcinome à cellules acineuses|M-8550/3|85503|G|A7A5|ADENOCARCINOME MACRO ACINEUX - CYSTADENOCARCINOME MACROACINEUX|
Carcinome de type diffus (C16.-)|M-8145/3|81453|G|A7A6|ADENOCARCINOME MASSIF|
Adénocarcinome alvéolaire (C34.-)|M-8251/3|82513||A7A7|ADENOCARCINOME ALVEOLAIRE|
Adénocarcinome bronchioloalvéolaire, SAI (C34.-)|M-8250/3|82503||A7A8|ADENOCARCINOME BRONCHIOLO-ALVEOLAIRE|
Adénocarcinome endométrioïde, SAI|M-8380/3|83803||A7A9|ADENOCARCINOME ENDOMETRIOIDE (AUTRE QU'OVARIEN)|
Carcinome intracanalaire et carcinome lobulaire in situ (C50.-)|M-8522/3|85223||A7B0|ADENOCARCINOME LOBULAIRE ET CANALAIRE INFILTRANT (SAI)|
Carcinome lobulaire, SAI (C50.-)|M-8520/3|85203||A7B1|ADENOCARCINOME LOBULAIRE INFILTRANT|
Carcinome intracanalaire non infiltrant, SAI|M-8500/3|85003||A7B2|ADENOCARCINOME CANALAIRE INFILTRANT (SAI)|
Adénocarcinome canalaire infiltrant, SAI (C50.-)|M-8500/3|85003||A7B3|ADENOCARCINOME CANALAIRE INFILTRANT DE TYPE MASSIF|
Comédocarcinome, SAI (C50.-)|M-8501/3|85013||A7B4|ADENOCARCINOME CANALAIRE A TYPE DE COMEDOCARCINOME|
Adénocarcinome papillaire intracanalaire infiltrant|M-8503/3|85033||A7B5|ADENOCARCINOME CANALAIRE DE TYPE PAPILLAIRE|
Carcinome cribriforme, SAI|M-8201/3|82013||A7B6|ADENOCARCINOME CANALAIRE DE TYPE CRIBRIFORME|
Maladie de Paget et carcinome canalaire infiltrant du sein (C50.-)|M-8541/3|85413||A7B7|PAGET  MALADIE DE - ADENOCARCINOME AVEC MALADIE DE PAGET|
Carcinome lobulaire, SAI (C50.-)|M-8520/3|85203||A7B8|ADENOCARCINOME LOBULAIRE PLEIOMORPHE|
Cystadénocarcinome, SAI|M-8440/3|84403||A7C4|ADENOCARCINOME KYSTIQUE - CYSTADENOCARCINOME|
Cystadénocarcinome papillaire, SAI (C56.9)|M-8450/3|84503||A7C6|ADENOCARCINOME KYSTIQUE ET PAPILLAIRE - CYSTADENOCARCINOME PAPILLAIRE|
Tumeur pseudopapillaire solide (C25.-)|M-8452/1|84521||A7C7|ADENOCARCINOME SOLIDE PAPILLAIRE INFILTRANT (PANCREAS ET FOIE)|
Adénocarcinome papillaire, SAI|M-8260/3|82603||A7D0|ADENOCARCINOME PAPILLAIRE (SAI)|
Carcinome papillaire encapsulé (C73.9)|M-8343/3|83433||A7D1|ADENOCARCINOME PAPILLAIRE ENCAPSULE|
Carcinome papillaire, variante vésiculaire (C73.9)|M-8340/3|83403|G|A7D2|ADENOCARCINOME PAPILLOVESICULAIRE|
Carcinome papillaire, variante vésiculaire (C73.9)|M-8340/3|83403|G|A7D3|ADENOCARCINOME PAPILLAIRE VARIANTE FOLLICULAIRE|
Adénocarcinome papillaire, SAI|M-8260/3|82603|G|A7D4|ADENOCARCINOME PAPILLOTRABECULAIRE|
Adénocarcinome papillaire, SAI|M-8260/3|82603|G|A7D6|ADENOCARCINOME PAPILLOTRABECULOVESICULAIRE|
Carcinome papillaire à cellule  oxyphile (C73.9)|M-8342/3|83423||A7D7|ADENOCARCINOME PAPILLAIRE A CELLULES OXYPHILES|
Microcarcinome papillaire (C73.9)|M-8341/3|83413||A7D8|ADENOCARCINOME PAPILLAIRE A TYPE D'EPITHELIOMA SCLEROSANT OCCULTE - MICROCARCINOME PAPILLAIRE|
Carcinome sclérosant non encapsulé (C73.9)|M-8350/3|83503|G|A7D9|ADENOCARCINOME PAPILLAIRE A FORME SCLEROSANTE DIFFUSE|
Adénocarcinome trabéculaire, SAI|M-8190/3|81903||A7E0|ADENOCARCINOME TRABECULAIRE (SAI)|
Adénocarcinome vésiculaire trabéculaire (C73.9)|M-8332/3|83323|G|A7E0|ADENOCARCINOME TRABECULAIRE (Thyroïde)|ajouter : (THYROIDE)
Adénocarcinome vésiculaire trabéculaire (C73.9)|M-8332/3|83323|G|A7E2|ADENOCARCINOME TRABECULOVESICULAIRE|
Adénocarcinome tubuleux|M-8211/3|82113||A7F0|ADENOCARCINOME TUBULEUX (SAI)|
Adénocarcinome sur adénome tubulovilleux|M-8263/3|82633||A7F2|ADENOCARCINOME TUBULOPAPILLAIRE|
Adénocarcinome vésiculaire, SAI (C73.9)|M-8330/3|83303||A7G0|ADENOCARCINOME VESICULAIRE (SAI)|
Carcinome vésiculaire microinvasif (C73.9)|M-8335/3|83353|G|A7G1|ADENOCARCINOME VESICULAIRE AVEC INVASION MINIME|
Adénocarcinome vésiculaire, SAI (C73.9)|M-8330/3|83303|G|A7G2|ADENOCARCINOME VESICULAIRE LARGEMENT INVASIF|
Adénocarcinome oxyphile|M-8290/3|82903||A7G3|ADENOCARCINOME VESICULAIRE A CELLULES OXYPHILES|
Adénocarcinome à cellules claires, SAI|M-8310/3|83103||A7G4|ADENOCARCINOME VESICULAIRE A CELLULES CLAIRES|
Adénocarcinome vésiculaire bien différencié (C73.9)|M-8331/3|83313||A7G6|ADENOCARCINOME VESICULAIRE BIEN DIFFERENCIE|
Adénocarcinome vésiculaire trabéculaire (C73.9)|M-8332/3|83323|G|A7G8|ADENOCARCINOME VESICULAIRE MOYENNEMENT DIFFERENCIE|
Carcinome insulaire (C73.9)|M-8337/3|83373||A7G9|ADENOCARCINOME VESICULAIRE DE TYPE INSULAIRE|
Adénocarcinome basocellulaire|M-8147/3|81473||A7H4|ADENOCARCINOME A CELLULES BASALES|
Carcinome hépatocellulaire, SAI (C22.0)|M-8170/3|81703||A7H5|ADENOCARCINOME HEPATOCYTAIRE - HEPATOCARCINOME|
Adénocarcinome à cellules basophiles (C75.1)|M-8300/3|83003||A7H6|ADENOCARCINOME A CELLULES BASOPHILES|
Cholangiocarcinome (C22.1, C24.0)|M-8160/3|81603||A7H7|ADENOCARCINOME A CELLULES BILIAIRES - CHOLANGIOCARCINOME|
Adénocarcinome chromophobe (C75.1)|M-8270/3|82703||A7H8|ADENOCARCINOME A CELLULES CHROMOPHOBES|
||||A7K0|ADENOCARCINOME HISTIOCYTOIDE|
Adénocarcinome à cellules claires, SAI|M-8310/3|83103||A7K2|ADENOCARCINOME A CELLULES CLAIRES|
Adénocarcinome endométrioïde, variante à cellules ciliées|M-8383/3|83833||A7K3|ADENOCARCINOME A CELLULES CILIEES|
Adénocarcinome à cellules eau de roche (C75.0)|M-8322/3|83223||A7K4|ADENOCARCINOME A CELLULES EAU DE ROCHE|
Adénocarcinome éosinophile (C75.1)|M-8280/3|82803||A7K6|ADENOCARCINOME A CELLULES EOSINOPHILES - ADENOCARCINOME IDROSADENOIDE|
Adénocarcinome, SAI|M-8140/3|81403|G|A7K7|ADENOCARCINOME BRUNNERIEN|
Myoépithéliome malin|M-8982/3|89823||A7K8|CARCINOME MYOEPITHELIAL - MYOEPITHELIOME MALIN|
Carcinome riche en lipides (C50.-)|M-8314/3|83143||A7L1|ADENOCARCINOME A CELLULES LIPIDIQUES|
Adénocarcinome oxyphile|M-8290/3|82903||A7L2|ADENOCARCINOME A CELLULES ONCOCYTAIRES|
Adénocarcinome à cellules mixtes|M-8323/3|83233||A7L4|ADENOCARCINOME A CELLULES POLYMORPHES - ADENOCARCINOME A CELLULES PLEOMORPHES|
Adénocarcinome, SAI|M-8140/3|81403|G|A7L6|ADENOCARCINOME A CELLULES PRINCIPALES|
Adénocarcinome, SAI|M-8140/3|81403|G|A7M0|ADENOCARCINOME AVEC ACTIVITE FONCTIONNELLE - ADENOCARCINOME SECRETANT (SAI)|
Adénocarcinome de type intestinal (C16.-)|M-8144/3|81443||A7M3|ADENOCARCINOME DE TYPE LIEBERKUHNIEN|
Adénocarcinome colloïde|M-8481/3|84813||A7M4|ADENOCARCINOME MUCOSECRETANT - ADENOCARCINOME MUCINEUX|
Cystadénocarcinome mucineux, SAI (C56.9)|M-8470/3|84703||A7M5|CYSTADENOCARCINOME MUCOSECRETANT OU MUCINEUX (AUTRE QU'OVARIEN)|
Carcinome solide, SAI|M-8230/3|82303||A7N2|CARCINOME SOLIDE A CONTENU MUCOIDE|
Adénocarcinome colloïde|M-8480/3|84803||A7N4|CARCINOME COLLOIDE|
Linite plastique (C16.-)|M-8142/3|81423||A7N6|CARCINOME A CELLULES INDEPENDANTES MUCIPARES - LINITE PLASTIQUE - CANCER A CELLULES EN BAGUES A CHATON|
Carcinome juvénile du sein (C50.-)|M-8502/3|85023||A7N7|CARCINOME SECRETANT JUVENILE|
Adénocarcinome, SAI|M-8140/3|81403|G|A7P0|TUMEUR ADENOMATEUSE COMPOSITE CANCERISEE|
Tumeur phyllode maligne (C50.-)|M-9020/3|90203||A7P6|TUMEUR PHYLLODE MALIGNE OU CANCERISEE - SARCOME PHYLLODE|
Carcinome lymphoépithélial|M-8082/3|80823||A7R4|CARCINOME SUR CYSTADENOLYMPHOME|
Carcinome sur adénome pléomorphe (C07.-, C08.-)|M-8941/3|89413||A7R8|CARCINOME SUR ADENOME PLEOMORPHE|
Tumeur mixte maligne, SAI|M-8940/3|89403||A7R9|ADENOME PLEOMORPHE METASTASIANT DES GLANDES - TUMEUR MIXTE MALIGNE VRAIE - SYRINGOME CHONDROIDE MALIN|
Adénocarcinome canalaire infiltrant, SAI (C50.-)|M-8500/3|85003|G|A7S0|ADENOCARCINOMES MULTIPLES (SAI)|
Adénocarcinome, SAI|M-8140/3|81403|G|A7S2|ADENOCARCINOME NON ENDOCRINE AU COURS D'UNE POLYONCOSE|
Adénocarcinome avec sous-types mixtes|M-8255/3|82553||A7V0|ADENOCARCINOME COMPOSITE ( SAI)|
Carcinome adénosquameux|M-8560/3|85603||A7V2|CARCINOME ADENOSQUAMEUX|
Carcinome muco-épidermoïde|M-8430/3|84303||A7V4|CARCINOME MUCO-EPIDERMOIDE|
Carcinome épithélialmyoépithélial|M-8562/3|85623||A7V5|CARCINOME EPITHELIAL-MYOEPITHELIAL|
Carcinome hépatocellulaire et cholangiocarcinome combinés (C22.0)|M-8180/3|81803||A7V6|HEPATOCHOLANGIOME MALIN|
Adénocarcinome polymorphe de bas grade|M-8525/3|85253||A7V7|ADENOCARCINOME POLYMORPHE DE FAIBLE MALIGNITE - ADENOCARCINOME CANALAIRE TERMINAL|
Carcinome pléomorphe|M-8022/3|80223||A7V8|ADENOCARCINOME POLYMORPHE|
Carcinome métaplasique, SAI|M-8575/3|85753||A7W0|ADENOCARCINOME METAPLASIQUE (SAI)|
Adénocarcinome avec métaplasie malpighienne|M-8570/3|85703||A7W2|ADENOCARCINOME AVEC METAPLASIE MALPIGHIENNE - ADENO-ACANTHOME|
Mulleroblastome (C54.-)|M-8950/3|89503||A7W3|ADENOCARCINOME MULLERIEN|
Adénocarcinome, SAI|M-8140/3|81403|G|A7W4|ADENOCARCINOME AVEC METAPLASIE SEBACEE|
Adénocarcinome avec métaplasie fusocellulaire|M-8572/3|85723||A7W6|CARCINOME METAPLASIQUE A CELLULES FUSIFORMES|
Adénocarcinome, SAI|M-8140/3|81403|G|A7X0|ADENOCARCINOME A STROMA PARTICULIER (SAI)|
Adénocarcinome squirrheux|M-8141/3|81413||A7X1|ADENOCARCINOME A STROMA FIBREUX SCLEROSANT|
Carcinome médullaire à stroma lymphoïde|M-8512/3|85123||A7X2|ADENOCARCINOME A STROMA LYMPHOIDE (SAI) - CARCINOME MEDULLAIRE LYMPHOIDE (SAI)|
