ORGANE|LIBORGANE|DATEMODIF
GM|MYOMETRE - UTERUS|
GO|OVAIRE|
GS|SEIN|
GT|TROMPE|
GU|MUQUEUSE UTERINE – ENDOMETRE|
GV|VULVE|
GX|REGION CERVICO-VAGINALE|
GZ|APPAREIL GENITAL FEMININ SAI|
HB|BOURSES - SCROTUM|
HD|DEFERENT - CORDON SPERMATIQUE|
HE|EPIDIDYME|
HG|VAGINALE DU TESTICULE|
HL|LIQUIDE SEMINAL|1997 Ajout
HP|PROSTATE VESICULE|
HS|SEMINALE|
HT|TESTICULE|
HV|VERGE|
HZ|APPAREIL GENITAL MASCULIN SAI|
LA|ARTICULATION (SAI)|
LB|BOURSE SEREUSE|
LC|CARTILAGE ARTICULAIRE|
LG|GAINE TENDINEUSE|
LM|MUSCLE STRIE|
LO|OS|
LS|SYNOVIALE - CAPSULE|
LT|TENDON|
LZ|SYSTEME LOCO-MOTEUR SAI|
NA|ARTERES DU SN|
NC|CERVELET|
NE|MOELLE EPINIERE|
NH|HEMISPHERE CEREBRAL|
NM|MENINGE|
NN|SN NEUROVEGETATIF|
NP|SN PERIPHERIQUE|
NS|SINUS VEINEUX du SN|
NT|TRONC CEREBRAL - NERF CRANIEN|
NV|VEINE du SN|
NZ|SYSTEME NERVEUX SAI|
OA|ANNEXES SUDORIPARE, SEBACEE ET PILAIRE|
OC|CORNEE|1997 Ajout
OE|OEIL ET ORBITE|
OG|ONGLE|1997 Ajout
OL|SYSTEME CRYMAL|
ON|NEZ|
OP|PAUPIERE|
OR|OREILLE (EXTERNE,MOYENNE, INTERNE,MASTOIDE)|
OT|TEGUMENTS|
OU|UVEE|1997 Ajout
OZ|ORGANES DES SENS ET TEGUMENTS|
PC|CORDON OMBILICAL|
PF|FOETUS - EMBRYON|
PM|MEMBRANES|
PO|OEUF (PRODUITS OVULAIRES) SAI|
PP|PLACENTA|
PZ|PRODUITS DE CONCEPTION SAI|
RB|BRONCHE|
RP|POUMON|
RS|SEREUSE PLEURALE|
RT|TRACHEE|
RZ|APPAREIL RESPIRATOIRE SAI|
SA|SANG (SAI)|
SG|GANGLION LYMPHATIQUE|
SM|MOELLE OSSEUSE|
SR|RATE|
ST|THYMUS|
SZ|SANG ET TISSU HEMATOPOIETIQUE SAI|
TA|TISSU ADIPEUX (cf TOPOGRAPHIE)|
TC|TISSU CONJONCTIF (cf TOPOGRAPHIE)|
TZ|TISSUS MESENCHYMATEUX SAI|
UC|CANAL URETL|
UP|PYELOCALICE (BASSINET, CALICE)|
UR|REIN|
UT|URETERE|
UV|VESSIE - OURAQUE|
UZ|APPAREIL URINAIRE SAI|
VA|ARTERE|
VC|VEINE CAVE|
VL|LYMPHATIQUE|
VM|MICRO - CIRCULATION|
VO|AORTE|
VP|SYSTEME PORTE|
VV|VEINE|
VZ|SYSTEME VASCULAIRE SAI|
XA|ABDOMEN - REGION ABDOMINALE|
XB|BASSIN - REGION PELVIENNE|
XC|COU - REGION CERVICALE|
XD|DIAPHRAGME - REGION DIAPHRAGMATIQUE|
XE|REGION ENCEPHALIQUE|
XF|FACE - REGION FACIALE|
XI|MEMBRE INFERIEUR|
XL|LOMBES - REGION LOMBO-SACREE|
XM|MEDIASTIN - REGION MEDIASTINALE|
XO|REGION OMBILICALE - OMBILIC|
XP|PERINEE - REGION PERINEALE|
XR|REGION RETRO-PERITONEALE|
XS|MEMBRE SUPERIEUR|
XT|THORAX - REGION THORACIQUE|
XX|ORGANISME ENTIER|
XZ|REGION DE L'ORGANISME SAI|
