LESION|LIBLESION
A0M5|CYSTADENOME MUCINEUX (SAUF OVARIEN)
A0M6|ADENOME PIGMENTE
A0M7|ADENOME A ACTH
A0M8|ADENOME A PROLACTINE
A0M9|ADENOME A STH
A0N1|ADENOME A TSH
A0N3|ADENOME A FSH ET LH
A0N9|ADENOME A SECRETIONS HORMONALES MULTIPLES
A0P0|TUMEUR ADENOMATEUSE COMPOSITE (SAI)
A0P1|FIBRO-ADENOME TUBULEUX SIMPLE
A0P2|FIBRO-ADENOME PERI ET INTRACANALICULAIRE DE RANVIER
A0P3|PAPILLOME JUVENILE - PAPILLOMATOSE JUVENILE
A0P4|FIBRO-ADENOME DENDRITIQUE INTRACANALAIRE - PAPILLOME INTRACANALICULAIRE
A0P5|FIBROADENOME JUVENILE
A0P6|FIBRO-ADENOME GEANT OU TUMEUR PHYLLODE
A0P8|FIBRO- ADENOME PAPILLAIRE
A0R2|ADENOLIPOME
A0R4|ADENOLYMPHOME - TUMEUR DE WARTHIN
A0R5|LYMPHADENOME SEBACE
A0R6|ADENOMYOME
A0R8|ADENOME PLEOMORPHE - TUMEUR MIXTE - SYRINGOME CHONDROIDE BENIN - TUMEUR A STROMA REMANIE
A0S0|ADENOME (POLYADENOME) MULTIPLE - ADENOMATOSE (SAI)
A0S1|POLYPOSE ADENOMATEUSE DIFFUSE FAMILIALE DANS LE SYNDROME DE GARDNER
A0S2|ADENOMES MULTIPLES NON ENDOCRINES AU COURS D'UNE POLYONCOSE
A0S3|POLYPOSE ADENOMATEUSE FAMILIALE DIFFUSE EN DEHORS DU SYNDROME DE GARDNER
A0S4|ADENOMATOSE DENDRITIQUE INTRACANALAIRE - PAPILLOMATOSE CANALICULAIRE
A0S6|ADENOMATOSE EROSIVE DU MAMELON - PAPILLOMATOSE FLORIDE DU MAMELON - PAPILLOMATOSE SOUS AREOLAIRE
A0T0|POLYPE ET POLYPOSE NON ADENOMATEUX (SAI)
A0T1|POLYPE FIBROIDE INFLAMMATOIRE
A0T2|POLYPE HYPERPLASIQUE
A0T3|POLYPE JUVENILE
A0T5|POLYPE INFLAMMATOIRE CLOACOGENIQUE
A0T7|POLYPE ET POLYPOSE DE CRONKITE-CANADA
A0T8|POLYPE ET POLYPOSE DE PEUTZ JEGHERS
A0T9|POLYPOSE NON ADENOMATEUSE (SAI)
A0Y0|ADENOME D'UN TYPE PARTICULIER
A0Y2|POLYPE MIXTE (HYPERPLASIQUE ET ADENOMATEUX)
A1F0|ADENOME TUBULEUX AVEC DYSPLASIE LEGERE
A1F4|ADENOME TUBULOVILLEUX AVEC DYSPLASIE LEGERE
A1F6|ADENOME VILLEUX AVEC DYSPLASIE LEGERE
A2F0|ADENOME TUBULEUX AVEC DYSPLASIE MODEREE
A2F4|ADENOME TUBULOVILLEUX AVEC DYSPLASIE MODEREE
A2F6|ADENOME VILLEUX AVEC DYSPLASIE MODEREE
A3F0|ADENOME TUBULEUX AVEC DYSPLASIE GRAVE
A3F4|ADENOME TUBULOVILLEUX AVEC DYSPLASIE GRAVE
A3F6|ADENOME VILLEUX AVEC DYSPLASIE GRAVE
A4A0|TUMEUR ADENOMATEUSE A MALIGNITE INCERTAINE (SAI)
A4A4|TUMEUR ACINEUSE
A4C4|ADENOME KYSTIQUE - CYSTADENOME A LA LIMITE DE LA MALIGNITE
A4F2|TUMEUR TUBULOPAPILLAIRE A LA LIMITE DE LA MALIGNITE
A4K2|TUMEUR A CELLULES CLAIRES
A4K7|TUMEUR BRUNNERIENNE A MALIGNITE INCERTAINE
A4P4|TUMEUR PAPILLAIRE INTRACANALAIRE
A4P6|TUMEUR PHYLLODE A LA LIMITE DE LA MALIGNITE
A4V4|TUMEUR MUCO-EPIDERMOIDE
A4X6|CYLINDROME (SAI) - CARCINOME ADENOIDE KYSTIQUE A LA LIMITE DE LA MALIGNITE
A4X7|CYLINDROME A STROMA HYALIN - CARCINOME ADENOIDE KYSTIQUE A STROMA HYALIN
A4X8|CYLINDROME A STROMA MUCOIDE - CARCINOME ADENOIDE KYSTIQUE A STROMA MUCOIDE
A5A0|ADENOCARCINOME IN SITU (SAI)
A5B0|ADENOCARCINOMES LOBULAIRE ET CANALAIRE NON INFILTRANTS (SAI)
A5B1|ADENOCARCINOME LOBULAIRE IN SITU
A5B2|ADENOCARCINOME INTRACANALAIRE IN SITU
A5B4|ADENOCARCINOME CANALAIRE A TYPE DE COMEDOCARCINOME IN SITU
A5B5|ADENOCARCINOME CANALAIRE DE TYPE PAPILLAIRE IN SITU
A5B6|ADENOCARCINOME CANALAIRE DE TYPE CRIBRIFORME IN SITU
A5B8|"ADENOCARCINOME INTRACANALAIRE DE TYPE CRAMPON - ""CLINGING"" CARCINOMA"
A5C4|CARCINOME INTRAKYSTIQUE - CYSTADENOCARCINOME NON INFILTRANT
A5C6|ADENOCARCINOME KYSTIQUE ET PAPILLAIRE - CYSTADENOCARCINOME PAPILLAIRE NON INFILTRANT
A5C7|TUMEUR SOLIDE ET PAPILLAIRE NON INFILTRANTE (PANCREAS - FOIE)
A5R8|CARCINOME NON INVASIF SUR ADENOME PLEOMORPHE
A6A0|ADENOCARCINOME MICROINVASIF (SAI)
A6B2|ADENOCARCINOME CANALAIRE INFILTRANT AVEC COMPOSANTE INTRACANALAIRE PREDOMINANTE ( INFILTRATON INFERIEURE Í 20% )
A6C1|ADENOCARCINOME INTRAMUQUEUX
A6D1|MICROCARCINOME GLANDULAIRE LATENT
A6G1|ADENOCARCINOME VESICULAIRE AVEC INVASION MINIME
A7A0|ADENOCARCINOME INVASIF (SAI)
A7A1|ADENOCARCINOME BIEN DIFFERENCIE (SAI)
A7A2|ADENOCARCINOME MOYENNEMENT DIFFERENCIE (SAI)
A7A3|ADENOCARCINOME PEU DIFFERENCIE (SAI)
A7A4|ADENOCARCINOME ACINEUX ET MICROACINEUX
A7A5|ADENOCARCINOME MACRO ACINEUX - CYSTADENOCARCINOME MACROACINEUX
A7A6|ADENOCARCINOME MASSIF
A7A7|ADENOCARCINOME ALVEOLAIRE
A7A8|ADENOCARCINOME BRONCHIOLO-ALVEOLAIRE
A7A9|ADENOCARCINOME ENDOMETRIOIDE (AUTRE QU'OVARIEN)
A7B0|ADENOCARCINOME LOBULAIRE ET CANALAIRE INFILTRANT (SAI)
A7B1|ADENOCARCINOME LOBULAIRE INFILTRANT
A7B2|ADENOCARCINOME CANALAIRE INFILTRANT (SAI)
A7B3|ADENOCARCINOME CANALAIRE INFILTRANT DE TYPE MASSIF
A7B4|ADENOCARCINOME CANALAIRE A TYPE DE COMEDOCARCINOME
A7B5|ADENOCARCINOME CANALAIRE DE TYPE PAPILLAIRE
A7B6|ADENOCARCINOME CANALAIRE DE TYPE CRIBRIFORME
A7B7|PAGET  MALADIE DE - ADENOCARCINOME AVEC MALADIE DE PAGET
A7B8|ADENOCARCINOME LOBULAIRE PLE¤OMORPHE
A7C4|ADENOCARCINOME KYSTIQUE - CYSTADENOCARCINOME
A7C6|ADENOCARCINOME KYSTIQUE ET PAPILLAIRE - CYSTADENOCARCINOME PAPILLAIRE
A7C7|ADENOCARCINOME SOLIDE PAPILLAIRE INFILTRANT (PANCREAS ET FOIE)
A7D0|ADENOCARCINOME PAPILLAIRE (SAI)
A7D1|ADENOCARCINOME PAPILLAIRE ENCAPSULE
A7D2|ADENOCARCINOME PAPILLOVESICULAIRE
A7D3|ADENOCARCINOME PAPILLAIRE VARIANTE FOLLICULAIRE
A7D4|ADENOCARCINOME PAPILLOTRABECULAIRE
A7D6|ADENOCARCINOME PAPILLOTRABECULOVESICULAIRE
A7D7|ADENOCARCINOME PAPILLAIRE A CELLULES OXYPHILES
A7D8|ADENOCARCINOME PAPILLAIRE A TYPE D'EPITHELIOMA SCLEROSANT OCCULTE - MICROCARCINOME PAPILLAIRE
A7D9|ADENOCARCINOME PAPILLAIRE A FORME SCLEROSANTE DIFFUSE
A7E0|ADENOCARCINOME TRABECULAIRE (SAI)
A7E2|ADENOCARCINOME TRABECULOVESICULAIRE
A7F0|ADENOCARCINOME TUBULEUX (SAI)
A7F2|ADENOCARCINOME TUBULOPAPILLAIRE
A7G0|ADENOCARCINOME VESICULAIRE (SAI)
A7G1|ADENOCARCINOME VESICULAIRE AVEC INVASION MINIME
A7G2|ADENOCARCINOME VESICULAIRE LARGEMENT INVASIF
A7G3|ADENOCARCINOME VESICULAIRE A CELLULES OXYPHILES
A7G4|ADENOCARCINOME VESICULAIRE A CELLULES CLAIRES
A7G6|ADENOCARCINOME VESICULAIRE BIEN DIFFERENCIE
A7G8|ADENOCARCINOME VESICULAIRE MOYENNEMENT DIFFERENCIE
A7G9|ADENOCARCINOME VESICULAIRE DE TYPE INSULAIRE
A7H4|ADENOCARCINOME A CELLULES BASALES
A7H5|ADENOCARCINOME HEPATOCYTAIRE - HEPATOCARCINOME
A7H6|ADENOCARCINOME A CELLULES BASOPHILES
A7H7|ADENOCARCINOME A CELLULES BILIAIRES - CHOLANGIOCARCINOME
A7H8|ADENOCARCINOME A CELLULES CHROMOPHOBES
A7K0|ADENOCARCINOME HISTIOCYTO¤DE
A7K2|ADENOCARCINOME A CELLULES CLAIRES
A7K3|ADENOCARCINOME A CELLULES CILIEES
A7K4|ADENOCARCINOME A CELLULES EAU DE ROCHE
A7K6|ADENOCARCINOME A CELLULES EOSINOPHILES - ADENOCARCINOME IDROSADENOIDE
A7K7|ADENOCARCINOME BRUNNERIEN
A7K8|CARCINOME MYOEPITHELIAL - MYOEPITHELIOME MALIN
A7L1|ADENOCARCINOME A CELLULES LIPIDIQUES
A7L2|ADENOCARCINOME A CELLULES ONCOCYTAIRES
A7L4|ADENOCARCINOME A CELLULES POLYMORPHES - ADENOCARCINOME A CELLULES PLEOMORPHES
A7L6|ADENOCARCINOME A CELLULES PRINCIPALES
A7M0|ADENOCARCINOME AVEC ACTIVITE FONCTIONNELLE - ADENOCARCINOME SECRETANT (SAI)
A7M3|ADENOCARCINOME DE TYPE LIEBERKUHNIEN
A7M4|ADENOCARCINOME MUCOSECRETANT - ADENOCARCINOME MUCINEUX
A7M5|CYSTADENOCARCINOME MUCOSECRETANT OU MUCINEUX (AUTRE QU'OVARIEN)
A7N2|CARCINOME SOLIDE A CONTENU MUCOIDE
A7N4|CARCINOME COLLOIDE
A7N6|CARCINOME A CELLULES INDEPENDANTES MUCIPARES - LINITE PLASTIQUE - CANCER A CELLULES EN BAGUES A CHATON
A7N7|CARCINOME SECRETANT JUVENILE
A7P0|TUMEUR ADENOMATEUSE COMPOSITE CANCERISEE
A7P6|TUMEUR PHYLLODE MALIGNE OU CANCERISEE - SARCOME PHYLLODE
A7R4|CARCINOME SUR CYSTADENOLYMPHOME
A7R8|CARCINOME SUR ADENOME PLEOMORPHE
A7R9|ADENOME PLEOMORPHE METASTASIANT DES GLANDES - TUMEUR MIXTE MALIGNE VRAIE - SYRINGOME CHONDROIDE MALIN
A7S0|ADENOCARCINOMES MULTIPLES (SAI)
A7S2|ADENOCARCINOME NON ENDOCRINE AU COURS D'UNE POLYONCOSE
A7V0|ADENOCARCINOME COMPOSITE ( SAI)
A7V2|CARCINOME ADENOSQUAMEUX
A7V4|CARCINOME MUCO-EPIDERMOIDE
A7V5|CARCINOME EPITHELIAL-MYOEPITHELIAL
A7V6|HEPATOCHOLANGIOME MALIN
A7V7|ADENOCARCINOME POLYMORPHE DE FAIBLE MALIGNITE - ADENOCARCINOME CANALAIRE TERMINAL
A7V8|ADENOCARCINOME POLYMORPHE
A7W0|ADENOCARCINOME METAPLASIQUE (SAI)
A7W2|ADENOCARCINOME AVEC METAPLASIE MALPIGHIENNE - ADENO-ACANTHOME
A7W3|ADENOCARCINOME MULLERIEN
A7W4|ADENOCARCINOME AVEC METAPLASIE SEBACEE
A7W6|CARCINOME METAPLASIQUE A CELLULES FUSIFORMES
A7X0|ADENOCARCINOME A STROMA PARTICULIER (SAI)
A7X1|ADENOCARCINOME A STROMA FIBREUX SCLEROSANT
A7X2|ADENOCARCINOME A STROMA LYMPHOIDE (SAI) - CARCINOME MEDULLAIRE LYMPHOIDE (SAI)
A7X3|ADENOCARCINOME AVEC CALCOSPHERITE OU CORPS PSAMMOMATEUX
A7X4|ADENOCARCINOME A STROMA CHONDROIDE OU OSTEOIDE OU OSTEOCARTILAGINEUX
A7X5|CARCINOME FIBROLAMELLAIRE - HEPATOCARCINOME FIBROLAMELLAIRE
A7X6|CYLINDROME MALIN (SAI) - CARCINOME ADENOIDE KYSTIQUE (SAI)
A7X7|CYLINDROME MALIN A STROMA HYALIN - CARCINOME ADENOIDE KYSTIQUE A STROMA HYALIN
A7X8|CYLINDROME MALIN A STROMA MUCOIDE - CARCINOME ADENOIDE KYSTIQUE A STROMA MUCOIDE
A7Y0|ADENOCARCINOME D'UN TYPE PARTICULIER (SAI)
A7Y1|ADENOCARCINOME DE TYPE BELLINIEN
A7Y4|ADENOCARCINOME DES GLANDES ANALES
A7Y7|CARCINOME SECRETANT DES LIPIDES - CARCINOME RICHE EN LIPIDES
A7Y8|CARCINOME A CELLULES GEANTES OSTEOCLASTIQUES
B0A0|NAEVUS BASOCELLULAIRE
B0F0|TUMEUR BLASTEMATEUSE BENIGNE (SAI)
B0F2|BLASTEME PERSISTANT
B0F4|BLASTEME MASSIF
B0F9|BLASTEMATOSE
B0G0|DIKTYOME
B4A0|NAEVOMATOSE BASOCELLULAIRE AU COURS D'UN SYNDROME DE GORLIN
B4E0|TUMEUR FIBROEPITHELIALE DE PINKUS
B7A0|CARCINOME BASOCELLULAIRE (SAI)
B7A2|CARCINOME BASOCELLULAIRE ADAMANTINOIDE
B7A4|CARCINOME BASOCELLULAIRE ADENOIDE
B7A6|CARCINOME BASOCELLULAIRE BOWENOIDE OU A CELLULES ATYPIQUES
B7A7|CARCINOME BASOCELLULAIRE CYLINDROMATEUX
B7A8|CARCINOME BASOCELLULAIRE A DIFFERENCIATION SEBACEE
B7B2|CARCINOME BASOCELLULAIRE KERATINISANT OU PILAIRE
B7B4|CARCINOME BASOCELLULAIRE KYSTIQUE
B7B6|CARCINOME BASOCELLULAIRE PAGETOIDE OU SUPERFICIEL
B7B8|CARCINOME BASOCELLULAIRE PIGMENTE
B7D2|CARCINOME BASOCELLULAIRE SARCOMATOIDE (A CELLULES FUSIFORMES)
B7D4|CARCINOME BASOCELLULAIRE SCLERODERMIFORME
B7D6|CARCINOME BASOCELLULAIRE DE TYPE INTERMEDIAIRE
B7D8|CARCINOME BASOSPINOCELLULAIRE - CARCINOME MIXTE JUXTAPOSE BASO ET SPINOCELLULAIRE
B7F0|TUMEUR BLASTEMATEUSE MALIGNE (SAI)
B7F2|ESTHESIONEUROBLASTOME
B7F4|ESTHESIONEUROCYTOME
B7F6|HEPATOBLASTOME
B7G8|EPENDYMOBLASTOME
B7K0|NEPHROBLASTOME (SAI)
B7K1|NEPHROBLASTOME AU SEIN D'UN RELIQUAT NEPHROGENIQUE
B7K2|NEPHROBLASTOME EPITHELIAL
B7K3|NEPHROBLASTOME KYSTIQUE PARTIELLEMENT DIFFERENCIE
B7K4|NEPHROBLASTOME MESENCHYMATEUX
B7K5|NEPHROBLASTOME RHABDOMYOMATEUX FOETAL
B7K6|NEPHROBLASTOME MIXTE OU COMPLEXE
B7K7|NEPHROBLASTOME MODIFIE PAR LA THERAPEUTIQUE
B7K8|NEPHROBLASTOME AVEC ANAPLASIE
B7K9|NEPHROBLASTOME SANS ANAPLASIE (HISTOLOGIE FAVORABLE)
B7L0|NEPHROBLASTOMATOSE (SAI)
B7L2|NEPHROBLASTOMATOSE CORTICALE SUPERFICIELLE
B7L5|NEPHROBLASTOMATOSE CORTICALE PROFONDE
B7N0|SARCOME EMBRYONNAIRE INDIFFERENCIE - SARCOME BOTRYOIDE (SAI)
C0A0|CHONDROME (SAI)
C0A2|ECCHONDROME - CHONDROME JUXTA-CORTICAL - CHONDROME PERIOSTE
C0A4|ENCHONDROME
C0C0|CHONDROBLASTOME
C0E0|FIBROME CHONDROMYXOIDE
C0G0|OSTEOCHONDROME - EXOSTOSE OSTEOGENIQUE UNIQUE
C4A0|TUMEUR CARTILAGINEUSE DE PRONOSTIC INCERTAIN
C4D0|CHONDROMATOSE - OLLIER  MALADIE D'
C4G0|MALADIE EXOSTOSANTE - OSTEOCHONDROMATOSE
C7A0|CHONDROSARCOME (SAI)
C7A2|CHONDROSARCOME JUXTACORTICAL - CHONDROSARCOME PERIPHERIQUE
C7A4|CHONDROSARCOME CENTRAL
C7A5|CHONDROSARCOME INDIFFERENCIE OU DEDIFFERENCIE
C7A6|CHONDROSARCOME A CELLULES CLAIRES
C7A7|CHONDROSARCOME MESENCHYMATEUX
C7A8|CHONDROSARCOME MYXOIDE - SARCOME CHORDOIDE
C7C0|CHONDROBLASTOME MALIN
C7D0|CHONDROMATOSE EN TRANSFORMATION MALIGNE
C7G0|MALADIE EXOSTOSANTE EN TRANSFORMATION MALIGNE
D0A0|AMELOBLASTOME - ADAMANTINOME (SAI)
D0A2|AMELOBLASTOME TYPE FOLLICULAIRE
D0A4|AMELOBLASTOME TYPE PLEXIFORME
D0A6|AMELOBLASTOME TYPE MALPIGHIEN
D0A7|AMELOBLASTOME TYPE BASOCELLULAIRE
D0A8|AMELOBLASTOME TYPE A CELLULES GRANULEUSES
D0C0|TUMEUR ODONTOGENE BENIGNE (SAI)
D0C2|TUMEUR ODONTOGENE DE TYPE ADENOMATOIDE - ADENO-AMELOBLASTOME
D0C3|TUMEUR ODONTOGENE EPITHELIALE CALCIFIEE
D0C4|TUMEUR ODONTOGENE CALCIFIEE - KYSTE ODONTOGENE CALCIFIE
D0C5|TUMEUR ODONTOGENE EPIDERMOIDE OU SQUAMEUSE
D0C6|FIBROME AMELOBLASTIQUE
D0C8|FIBRO-ODONTOME AMELOBLASTIQUE
D0D1|DENTINOME
D0D2|ODONTO-AMELOBLASTOME
D0D4|ODONTOME COMPLEXE
D0D6|ODONTOME COMPOSE
D0D8|FIBROME ODONTOGENE
D0D9|MYXOME ODONTOGENE - MYXOFIBROME ODONTOGENE
D0F0|CEMENTOME (SAI)
D0F2|CEMENTOBLASTOME BENIN
D0F4|FIBROME CEMENTIFIANT
D0F6|DYSPLASIE PERIAPICALE DU CEMENT
D0F8|CEMENTOME GEANT
D0G0|TUMEUR ET PSEUDOTUMEUR A CELLULES GEANTES (SAI)
D0G2|GRANULOME CENTRAL A CELLULES GEANTES DU MAXILLAIRE (SAI)
D0G4|CHERUBINISME
D0H0|TUMEUR ET PSEUDOTUMEUR OSSIFIANTE DES MAXILLAIRES (SAI)
D0H1|FIBROME OSSIFIANT DES MAXILLAIRES
D0H2|DYSPLASIE FIBREUSE DES MAXILLAIRES
D0N0|TUMEUR DYSGENETIQUE BENIGNE (SAI)
D0N2|CRANIOPHARYNGIOME
D0N4|NEPHROME KYSTIQUE MULTILOCULAIRE
D0R0|CHORISTOME (SAI)
D0S0|HAMARTOME (SAI)
D0S1|HAMARTOME SIMPLIFIE
D0S2|HAMARTOME COMPOSITE (HEPATOBILIAIRE etc)
D0S3|HAMARTOCHONDROME - HAMARTOCHONDROMATOSE
D0S4|HAMARTOME INVERSE
D0S5|BOLANDE  TUMEUR DE - NEPHROME MESOBLASTIQUE
D0S6|NEPHROME MESOBLASTIQUE CELLULAIRE
D0S7|HAMARTOME MESENCHYMATEUX SAI
D0S8|HAMARTOME METANEPHRIQUE PERSISTANT
D0V0|TERATOME DYSGENETIQUE NON GONADIQUE
D4N0|TUMEUR DYSGENETIQUE POTENTIELLEMENT MALIGNE (SAI)
D4N2|ADAMANTINOME DES OS LONGS
D4N4|CHORDOME
D4N8|TUMEUR NEURO-ECTODERMIQUE MELANIQUE DU NOURRISSON - PROGONOME MELANOTIQUE
D7A0|AMELOBLASTOME MALIN
D7C0|TUMEUR ODONTOGENE MALIGNE (SAI)
D7C6|FIBROSARCOME AMELOBLASTIQUE
D7C8|ODONTOSARCOME AMELOBLASTIQUE
D7L0|CARCINOME INTRA-OSSEUX PRIMITIF
D7M0|CARCINOME DEVELOPPE A PARTIR DES KYSTES DES MACHOIRES
D7N0|TUMEUR DYSGENETIQUE CANCERISEE (SAI)
D7S5|BOLANDE MALIGNE TUMEUR DE - NEPHROME MESOBLASTIQUE MALIN
D7V0|TERATOME DYSGENETIQUE CANCERISE NON GONADIQUE
E0A0|ACANTHOME
E0A2|ACANTHOME A CELLULES CLAIRES
E0A4|ACANTHOME FISSURE POST TRAUMATIQUE
E0B0|ACANTHOSIS NIGRICANS
E0C0|ACROKERATOSE VERRUCIFORME DE HOPF
E0D0|CONDYLOME - PAPILLOME VIRAL (SAI)
E0D1|CONDYLOME VIRAL - PAPILLOME VIRAL EXOPHYTIQUE OU ACUMINE
E0D2|CONDYLOME VIRAL - PAPILLOME VIRAL A FORME PLANE
E0D3|CONDYLOME VIRAL - PAPILLOME VIRAL INVERSE
E0D5|CONDYLOMEVIRAL - PAPILLOME VIRAL ATYPIQUE
E0D7|CONDYLOME GEANT DE BUSCHKE-LOWENSTEIN
E0D8|HYPERPLASIE FOCALE EPITHELIALE - HECK  MALADIE DE
E0D9|CONDYLOMATOSE VIRAL - PAPILLOMATOSE VIRALE
E0F0|MOLLUSCUM CONTAGIOSIUM
E0G0|NAEVUS EPIDERMIQUE (SAI)
E0G1|NAEVUS EPIDERMIQUE PIGMENTE ET PILEUX DE BECKER
E0G2|NAEVUS VERRUQUEUX
E0G4|NAEVUS VERRUQUEUX EPIDERMOLYTIQUE - ACANTHOME EPIDERMOLYTIQUE
E0G6|NAEVUS VERRUQUEUX INFLAMMATOIRE LINEAIRE (NEVIL)
E0G8|NAEVUS VERRUCOSEBACE
E0H0|PAPILLOME MALPIGHIEN - HYPERPLASIE PAPILLOMATEUSE MALPIGHIENNE (SAI)
E0H2|PAPILLOME KERATOSIQUE - PAPILLOKERATOME
E0H4|PAPILLOME INVERSE
E0H9|PAPILLOMATOSE NON VIRALE - PAPILLOMATOSE CONFLUENTE ET RETICULEE DE GOUGEROT ET CARTAUD - DERMATOSIS PAPULOSA NIGRA
E0J0|PAPULOSE BOWENOIDE
E0K0|POROME FOLLICULAIRE - KERATOSE FOLLICULAIRE INVERSEE - VERRUE SEBORRHEIQUE PILAIRE
E0L0|VERRUE SEBORRHEIQUE (SAI)
E0L2|VERRUE SEBORRHEIQUE ADENOIDE
E0L4|VERRUE SEBORRHEIQUE HYPERKERATOSIQUE
E0L6|VERRUE SEBORRHEIQUE INFLAMMATOIRE VERRUE SEBORRHEIQUE IRRITEE
E0L7|VERRUE SEBORRHEIQUE A TYPE DE MELANO-ACANTHOME
E0L8|VERRUE SEBORRHEIQUE PIGMENTEE
E0L9|VERRUES SEBORRHEIQUES MULTIPLES - TRELAT  SYNDROME DE
E0M0|VERRUE VIRALE (SAI)
E0M2|VERRUE PLANE
E0M4|VERRUE VULGAIRE
E4N0|KERATOSE PRE-EPITHELIOMATEUSE (SAI)
E4N1|BALANITE PSEUDO EPITHELIOMATEUSE HYPERKERATOSIQUE ET MICACEE
E4N2|CHEILITE KERATOSIQUE PSEUDO-EPITHELIOMATEUSE
E4N3|EPIDERMODYSPLASIE VERRUCIFORME DE LUTZ-LEWANDOWSKY
E4N4|HYPERPLASIE PSEUDO-EPITHELIOMATEUSE
E4P1|KERATOSE ACTINIQUE - KERATOSE SENILE - KERATOSE SOLAIRE (SAI)
E4P2|KERATOSE ACTINIQUE ACANTHOLYTIQUE OU EPIDERMOLYTIQUE
E4P3|KERATOSE ACTINIQUE BOWENOIDE
E4P5|KERATOSE ACTINIQUE HYPERTROPHIQUE - CORNE CUTANEE
E4P6|KERATOSE ACTINIQUE LICHENOIDE
E4R1|KERATOSE ARSENICALE
E4R3|KERATOSE DU GOUDRON
E4R5|PAPILLOMATOSE ORALE FLORIDE
E4R6|PAPILLOMATOSIS CUTIS CARCINOIDES DE GOTRON
E4R7|RADIODERMITE - RADIOMUCITE
E4R8|XERODERMA PIGMENTOSUM
E5S0|NEOPLASIE INTRAEPITHELIALE (SAI)
E5S1|NEOPLASIE INTRAEPITHELIALE GRADE 1
E5S2|NEOPLASIE INTRAEPITHELIALE GRADE 2
E5S3|NEOPLASIE INTRAEPITHELIALE GRADE 3
E5T0|CARCINOME EPIDERMOIDE IN SITU (SAI)
E5T1|CARCINOME EPIDERMOIDE IN SITU A GRANDES CELLULES OU DIFFERENCIE
E5T2|CARCINOME EPIDERMOIDE IN SITU A GRANDES CELLULES KERATINISANT OU MATURE
E5T5|CARCINOME EPIDERMOIDE IN SITU A PETITES CELLULES
E5T6|CARCINOME INTRA-EPIDERMIQUE DE BORST-JADASSOHN
E5T7|BOWEN  MALADIE DE - ERYTHROPLASIE DE QUEYRAT
E5T8|BOWEN A CELLULES CLAIRES  MALADIE DE
E5T9|CARCINOME EPIDERMOIDE IN SITU SUR LESION PRE-EXISTANTE (SAI)
E6T0|CARCINOME EPIDERMOIDE MICROINVASIF (SAI)
