TYPE|CODE|LIB|TXT|Findevalid|extension|cma_niv|cma|cmas|cmas_nt|code_imprecis|interdits_en_DP|interdits_en_DR|requerant_un_DR|ssrFP|ssrMP|ssrAE|ssrDAS|ssrZ_CMC|pmsi|MAJ|auteur_MAJ|remarque1|_009_EXT__LIB__finvalid__doublon
|8010/3|8010/3 : Carcinome SAI|Carc. SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8010/6|8010/6 : Carcinome métastatique SAI|Carc. métastatique SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8011/0|8011/0 : Epithéliome bénin|Epithéliome b.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8011/3|8011/3 : Epithéliome malin|Epithéliome m.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8012/3|8012/3 : Carcinome à cellules géantes SAI|Carc. à cell. géantes SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8020/3|8020/3 : Carcinome indifférencié SAI|Carc. indifférencié SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8021/3|8021/3 : Carcinome anaplasique SAI|Carc. anaplasique SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8022/3|8022/3 : Carcinome polymorphe|Carc. polymorphe||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8030/3|8030/3 : Carcinome à cellules géantes et à cellules fusiformes|Carc. à cell. géantes et à cell. fusiformes||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8031/3|8031/3 : Carcinome à cellules géantes|Carc. à cell. géantes||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8032/3|8032/3 : Carcinome à cellules fusiformes|Carc. à cell. fusiformes||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8033/3|8033/3 : Carcinome pseudosarcomateux|Carc. pseudosarcomateux||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8034/3|8034/3 : Carcinome à cellules polygonales|Carc. à cell. polygonales||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8040/1|8040/1 : Tumorlet|Tumorlet||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8041/3|8041/3 : Carcinome à petites cellules SAI|Carc. à pt. cell. SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8042/3|8042/3 : Carcinome à cellules en grain d'avoine (C34.-)|Carc. à cell. en grain d'avoine (C34.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8043/3|8043/3 : Carcinome à petites cellules fusiformes (C34.-)|Carc. à pt. cell. fusiformes (C34.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8044/3|8044/3 : Carcinome à petites cellules intermédiaires (C34.-)|Carc. à pt. cell. intermédiaires (C34.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8045/3|8045/3 : Carcinome à petites cellules et à cellules géantes (C34.-)|Carc. à pt. cell. et à cell. géantes (C34.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8050/0|8050/0 : Papillome SAI (à l'exclusion du papillome de la vessie 8120/1)|Papillome SAI (à l'exclusion du papillome de la vessie 8120/1)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8050/2|8050/2 : Carcinome papillaire in situ|Carc. papillaire in situ||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8050/3|8050/3 : Carcinome papillaire SAI|Carc. papillaire SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8051/0|8051/0 : PapilIome verruqueux|PapilIome verruqueux||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8051/3|8051/3 : Carcinome verruqueux SAI|Carc. verruqueux SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8052/0|8052/0 : Papillome épidermoïde|Papillome épidermoïde||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8052/3|8052/3 : Carcinome épidermoïde papillaire|Carc. épidermoïde papillaire||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8053/0|8053/0 : Papillome inversé|Papillome inversé||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8060/0|8060/0 : Papillomatose SAI|Papillomatose SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8070/2|8070/2 : Carcinome épidermoïde in situ SAI|Carc. épidermoïde in situ SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8070/3|8070/3 : Carcinome épidermoïde SAI|Carc. épidermoïde SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8070/6|8070/6 : Carcinome épidermoïde métastatique SAI|Carc. épidermoïde métastatique SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8071/3|8071/3 : Carcinome épidermoïde kératinisant SAI|Carc. épidermoïde kératinisant SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8072/3|8072/3 : Carcinome épidermoïde à cellules géantes, non kératinisant|Carc. épidermoïde à cell. géantes, non kératinisant||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8073/3|8073/3 : Carcinome épidermoïde à petites cellules, non kératinisant|Carc. épidermoïde à pt. cell., non kératinisant||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8074/3|8074/3 : Carcinome épidermoïde à cellules fusiformes|Carc. épidermoïde à cell. fusiformes||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8075/3|8075/3 : Carcinome épidermoïde adénoïde|Carc. épidermoïde adénoïde||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8076/2|8076/2 : Carcinome épidermoïde in situ avec invasion stromale éventuelle (D06.-)|Carc. épidermoïde in situ avec invasion stromale éventuelle (D06.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8076/3|8076/3 : Carcinome épidermoïde micro-invasif (C53.-)|Carc. épidermoïde micro-invasif (C53.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8077/2|8077/2 : Néoplasie intraépithéliale, stade III, du col de l'utérus, de la vulve et du vagin|Néoplasie intraépithéliale, stade III, du col de l'utérus, de la vulve et du vagin||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8080/2|8080/2 : Erythroplasie de Queyrat (D07.4)|Erythroplasie de Queyrat (D07.4)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8081/2|8081/2 : Maladie de Bowen|Mal. de Bowen||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8082/3|8082/3 : Carcinome lympho-épithélial|Carc. lympho-épithélial||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8090/1|8090/1 : Tumeur basocellulaire (D48.5)|T. basocell. (D48.5)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8090/3|8090/3 : Carcinome basocellulaire SAI (C44.-)|Carc. basocell. SAI (C44.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8091/3|8091/3 : Carcinome basocellulaire multicentrique (C44,-)|Carc. basocell. multicentrique (C44,-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8092/3|8092/3 : Carcinome basocellulaire de type morphée (C44.-)|Carc. basocell. de type morphée (C44.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8093/3|8093/3 : Carcinome basocellulaire de type fibro-épithélial (C44.-)|Carc. basocell. de type fibro-épithélial (C44.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8094/3|8094/3 : Carcinome basosquameux (C44.-)|Carc. basosquameux (C44.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8095/3|8095/3 : Carcinome métatypique (C44.-)|Carc. métatypique (C44.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8096/0|8096/0 : Epithéliome intra-épidermique de Borst-Jadassohn (D23.-)|Epithéliome intra-épidermique de Borst-Jadassohn (D23.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8100/0|8100/0 : Tricho-épithéliome (D23.-)|Tricho-épithéliome (D23.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8101/0|8101/0 : Trichofolliculome (D23.-)|Trichofolliculome (D23.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8102/0|8102/0 : Tricholemmome (D23.-)|Tricholemmome (D23.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8110/0|8110/0 : Pilomatrixome SAI [épithélioma momifié de Malherbe] (D23.-)|Pilomatrixome SAI [épithélioma momifié de Malherbe] (D23.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8110/3|8110/3 : Pilomatrixome malin [carcinome à pilomatrix] (C44.-)|Pilomatrixome m. [carc. à pilomatrix] (C44.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8120/0|8120/0 : Papillome à cellules transitionnelles SAI|Papillome à cell. transitionnelles SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8120/1|8120/1 : Papillome urothélial|Papillome urothélial||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8120/2|8120/2 : Carcinome à cellules transitionnelles in situ|Carc. à cell. transitionnelles in situ||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8120/3|8120/3 : Carcinome à cellules transitionnelles SAI|Carc. à cell. transitionnelles SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8121/0|8121/0 : Papillome schneidérien|Papillome schneidérien||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8121/1|8121/1 : Papillome à cellules transitionnelles de type inversé|Papillome à cell. transitionnelles de type inversé||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8121/3|8121/3 : Carcinome schneidérien|Carc. schneidérien||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8122/3|8122/3 : Carcinome à cellules transitionnelles fusiformes|Carc. à cell. transitionnelles fusiformes||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8123/3|8123/3 : Carcinome basaloïde (C21. 1)|Carc. basaloïde (C21. 1)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8124/3|8124/3 : Tumeur cloacogénique (C21.2)|T. cloacogénique (C21.2)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8130/3|8130/3 : Carcinome papillaire à cellules transitionnelles|Carc. papillaire à cell. transitionnelles||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8140/0|8140/0 : Adénome SAI|Adénome SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8140/1|8140/1 : Adénome bronchique SAI (D38.1)|Adénome bronchique SAI (D38.1)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8140/2|8140/2 : Adénocarcinome in situ|Adénocarc. in situ||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8140/3|8140/3 : Adénocarcinome SAI|Adénocarc. SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8140/6|8140/6 : Adénocarcinome métastatique SAI|Adénocarc. métastatique SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8141/3|8141/3 : Adénocarcinome squirrheux|Adénocarc. squirrheux||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8142/3|8142/3 : Linite plastique (C16.-)|Linite plast. (C16.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8143/3|8143/3 : Adénocarcinome à extension superficielle|Adénocarc. à extension superf.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8144/3|8144/3 : Adénocarcinome de type intestinal (C16.-)|Adénocarc. de type intest. (C16.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8145/3|8145/3 : Carcinome de type diffus (C16.-)|Carc. de type diffus (C16.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8146/0|8146/0 : Adénome monomorphe|Adénome monomorphe||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8147/0|8147/0 : Adénome basocellulaire (D11.-)|Adénome basocell. (D11.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8147/3|8147/3 : Adénocarcinome basocellulaire (C07.-, C08.-)|Adénocarc. basocell. (C07.-, C08.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8150/0|8150/0 : Adénome insulaire (D13.7)|Adénome insulaire (D13.7)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8150/3|8150/3 : Carcinome insulaire (C25.4)|Carc. insulaire (C25.4)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8151/0|8151/0 : Insulinome SAI (D13.7)|Insulinome SAI (D13.7)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8151/3|8151/3 : Insulinome malin (C25.4)|Insulinome m. (C25.4)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8152/0|8152/0 : Glucagonome SAI (D13.7)|Glucagonome SAI (D13.7)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8152/3|8152/3 : Glucagonome malin (C25.4)|Glucagonome m. (C25.4)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8153/1|8153/1 : Gastrinome SAI|Gastrinome SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8153/3|8153/3 : Gastrinome malin|Gastrinome m.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8154/3|8154/3 : Adénocarcinome mixte insulaire et à cellules exocrines (C25.-)|Adénocarc. mixte insulaire et à cell. exocrines (C25.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8155/3|8155/3 : Vipome|Vipome||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8160/0|8160/0 : Cholangiome bénin (D13.4)|Cholangiome b. (D13.4)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8160/3|8160/3 : Cholangiocarcinome (C22.1)|Cholangiocarc. (C22.1)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8161/0|8161/0 : Cystadénome biliaire|Cystadénome bil.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8161/3|8161/3 : Cystadénocarcinome biliaire|Cystadénocarc. bil.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8162/3|8162/3 : Tumeur de Klatskin (C22.1)|T. de Klatskin (C22.1)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8170/0|8170/0 : Adénome hépato-cellulaire (D13.4)|Adénome hépato-cell. (D13.4)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8170/3|8170/3 : Carcinome hépatocellulaire SAI (C22.0)|Carc. hépatocell. SAI (C22.0)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8171/3|8171/3 : Carcinome hépatocellulaire, type fibrolamellaire (C22.0)|Carc. hépatocell., type fibrolamellaire (C22.0)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8180/3|8180/3 : Carcinome composite, carcinome hépatocellulaire avec cholangiocarcinome (C22.0)|Carc. composite, carc. hépatocell. avec cholangiocarc. (C22.0)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8190/0|8190/0 : Adénome trabéculaire|Adénome trabéculaire||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8190/3|8190/3 : Adénocarcinome trabéculaire|Adénocarc. trabéculaire||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8191/0|8191/0 : Adénome embryonnaire|Adénome embryonnaire||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8200/0|8200/0 : CyIindrome eccrine dermique (D23.-)|CyIindrome eccrine dermique (D23.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8200/3|8200/3 : Carcinome adénoïde kystique|Carc. adénoïde kystique||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8201/3|8201/3 : Carcinome cribriforme|Carc. cribriforme||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8202/0|8202/0 : Adénome microkystique (D13.7)|Adénome microkystique (D13.7)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8210/0|8210/0 : Polype adénomateux SAI|Polype adénomateux SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8210/2|8210/2 : Adénocarcinome in situ sur polype adénomateux|Adénocarc. in situ sur polype adénomateux||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8210/3|8210/3 : Adénocarcinome sur polype adénomateux|Adénocarc. sur polype adénomateux||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8211/0|8211/0 : Adénome tubulaire SAI|Adénome tubul. SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8211/3|8211/3 : Adénocarcinome tubulaire|Adénocarc. tubul.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8220/0|8220/0 : Polypose (adénomateuse) du côlon (D12.-)|Polypose (adénomateuse) du côlon (D12.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8220/3|8220/3 : Adénocarcinome sur polypose (adénomateuse) du côlon (C18.-)|Adénocarc. sur polypose (adénomateuse) du côlon (C18.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8221/0|8221/0 : Polypes adénomateux multiples|Polypes adénomateux mult.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8221/3|8221/3 : Adénocarcinome sur polypes adénomateux multiples|Adénocarc. sur polypes adénomateux mult.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8230/3|8230/3 : Carcinome solide SAI|Carc. solide SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8231/3|8231/3 : Carcinome simplex|Carc. simplex||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8240/1|8240/1 : Tumeur carcinoïde de l'appendice SAI (D37.3)|T. carcinoïde de l'appendice SAI (D37.3)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8240/3|8240/3 : Tumeur carcinoïde SAI (sauf de l'appendice 8240/1)|T. carcinoïde SAI (sauf de l'appendice 8240/1)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8241/1|8241/1 : Tumeur carcinoïde argentaffine SAI|T. carcinoïde argentaffine SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8241/3|8241/3 : Tumeur carcinoïde maligne argentaffine|T. carcinoïde m. argentaffine||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8243/3|8243/3 : Carcinoïde à cellules caliciformes (C18.1)|Carcinoïde à cell. caliciformes (C18.1)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8244/3|8244/3 : Carcinoïde mixte|Carcinoïde mixte||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8245/3|8245/3 : Tumeur adénocarcinoïde|T. adénocarcinoïde||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8246/3|8246/3 : Carcinome neuro-endocrinien|Carc. neuro-endoc.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8247/3|8247/3 : Carcinome à cellules de Merkel (C44.-)|Carc. à cell. de Merkel (C44.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8248/1|8248/1 : Apudome|Apudome||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8250/1|8250/1 : Adénomatose pulmonaire (D38.1)|Adénomatose pulm. (D38.1)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8250/3|8250/3 : Adénocarcinome bronchiolo-alvéolaire (C34.-)|Adénocarc. bronchiolo-alvéolaire (C34.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8251/0|8251/0 : Adénome alvéolaire (D14.3)|Adénome alvéolaire (D14.3)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8251/3|8251/3 : Adénocarcinome alvéolaire (C34.-)|Adénocarc. alvéolaire (C34.-)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8260/0|8260/0 : Adénome papillaire SAI|Adénome papillaire SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8260/3|8260/3 : Adénocarcinome papillaire SAI|Adénocarc. papillaire SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8261/1|8261/1 : Adénome villeux SAI|Adénome villeux SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8261/2|8261/2 : Adénocarcinome in situ sur adénome villeux|Adénocarc. in situ sur adénome villeux||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8261/3|8261/3 : Adénocarcinome sur adénome villeux|Adénocarc. sur adénome villeux||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8262/3|8262/3 : Adénocarcinome villeux|Adénocarc. villeux||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8263/0|8263/0 : Adénome tubulovilleux (tubulopapillaire) SAI|Adénome tubulovilleux (tubulopapillaire) SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8263/2|8263/2 : Adénocarcinome in situ sur adénome tubulovilleux (tubulopapillaire)|Adénocarc. in situ sur adénome tubulovilleux (tubulopapillaire)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8263/3|8263/3 : Adénocarcinome sur adénome tubulovilleux (tubulopapillaire)|Adénocarc. sur adénome tubulovilleux (tubulopapillaire)||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
